round01		06-05	07-04	08-03	09-02
round02		01-08	03-06	04-09	05-07	
round03		02-04	06-01	07-03	09-05
round04		01-07	03-09	05-02	08-06
round05		02-03	04-05	07-08	09-01
round06		01-02	03-04	06-07	08-09
round07		02-08	04-01	05-03	09-06
round08		01-05	06-02	07-09	08-04
round09		02-07	03-01	04-06	05-08

round10		05-06	04-07	03-08	02-09
round11		08-01	06-03	09-04	07-05	
round12		04-02	01-06	03-07	05-09
round13		07-01	09-03	02-05	06-08
round14		03-02	05-04	08-07	01-09
round15		02-01	04-03	07-06	09-08
round16		08-02	01-04	03-05	06-09
round17		05-01	02-06	09-07	04-08
round18		07-02	01-03	06-04	08-05
