round01		07-06	08-05	09-04	10-03	11-02
round02		01-10	03-08	04-11	05-07	06-09
round03		02-04	07-03	08-01	09-05	11-06
round04		01-07	03-09	05-11	06-02	10-08
round05		02-05	04-06	07-10	09-01	11-03
round06		01-11	03-02	05-04	08-07	10-09
round07		02-01	04-03	06-05	09-08	11-10
round08		01-04	03-06	07-09	08-11	10-02
round09		02-08	04-10	05-03	06-01	11-07
round10		01-05	07-02	08-04	09-11	10-06
round11		02-09	03-01	04-07	05-10	06-08

round12		06-07	05-08	04-09	03-10	02-11
round13		10-01	08-03	11-04	07-05	09-06
round14		04-02	03-07	01-08	05-09	06-11
round15		07-01	09-03	11-05	02-06	08-10
round16		05-02	06-04	10-07	01-09	03-11
round17		11-01	02-03	04-05	07-08	09-10
round18		01-02	03-04	05-06	08-09	10-11
round19		04-01	06-03	09-07	11-08	02-10
round20		08-02	10-04	03-05	01-06	07-11
round21		05-01	02-07	04-08	11-09	06-10
round22		09-02	01-03	07-04	10-05	08-06
