round01		01-07	03-11	05-09	08-06	10-04	12-02
round02		02-10	04-08	06-05	07-12	09-03	11-01
round03		01-09	03-06	05-04	08-02	10-12	11-07
round04		02-05	04-03	06-01	07-10	09-11	12-08
round05		01-04	03-02	05-12	08-10	09-07	11-06
round06		02-01	04-11	06-09	07-08	10-05	12-03
round07		01-12	03-10	05-08	07-06	09-04	11-02
round08		02-09	04-06	05-07	08-03	10-01	12-11
round09		01-08	03-05	06-02	07-04	09-12	11-10
round10		02-04	03-07	05-01	08-11	10-09	12-06
round11		01-03	04-12	06-10	07-02	09-08	11-05

round12		07-01	11-03	09-05	06-08	04-10	02-12
round13		10-02	08-04	05-06	12-07	03-09	01-11
round14		09-01	06-03	04-05	02-08	12-10	07-11
round15		05-02	03-04	01-06	10-07	11-09	08-12
round16		04-01	02-03	12-05	10-08	07-09	06-11
round17		01-02	11-04	09-06	08-07	05-10	03-12
round18		12-01	10-03	08-05	06-07	04-09	02-11
round19		09-02	06-04	07-05	03-08	01-10	11-12
round20		08-01	05-03	02-06	04-07	12-09	10-11
round21		04-02	07-03	01-05	11-08	09-10	06-12
round22		03-01	12-04	10-06	02-07	08-09	05-11
