round01		01-14	04-09	06-07	08-05	10-03	12-02	13-11	
round02		02-10	03-08	05-06	07-04	09-13	11-01	14-12	
round03		01-09	04-05	06-03	08-02	10-12	11-14	13-07	
round04		02-06	03-04	05-13	07-01	09-11	12-08	14-10
round05		01-05	04-02	06-12	08-10	09-14	11-07	13-03
round06		02-13	03-01	05-11	07-09	10-06	12-04	14-08
round07		01-02	04-10	06-08	07-14	09-05	11-03	13-12
round08		02-11	03-09	05-07	08-04	10-13	12-01	14-06
round09		01-10	04-06	05-14	07-03	09-02	11-12	13-08
round10		02-07	03-05	06-13	08-01	10-11	12-09	14-04
round11		01-06	03-14	05-02	07-12	09-10	11-08	13-04
round12		02-03	04-01	06-11	08-09	10-07	12-05	13-14
round13		01-13	03-12	05-10	07-08	09-06	11-04	14-02

round14		14-01	09-04	07-06	05-08	03-10	02-12	11-13
round15		10-02	08-03	06-05	04-07	13-09	01-11	12-14
round16		09-01	05-04	03-06	02-08	12-10	14-11	07-13
round17		06-02	04-03	13-05	01-07	11-09	08-12	10-14
round18		05-01	02-04	12-06	10-08	14-09	07-11	03-13
round19		13-02	01-03	11-05	09-07	06-10	04-12	08-14
round20		02-01	10-04	08-06	14-07	05-09	03-11	12-13
round21		11-02	09-03	07-05	04-08	13-10	01-12	06-14
round22		10-01	06-04	14-05	03-07	02-09	12-11	08-13
round23		07-02	05-03	13-06	01-08	11-10	09-12	04-14
round24		06-01	14-03	02-05	12-07	10-09	08-11	04-13
round25		03-02	01-04	11-06	09-08	07-10	05-12	14-13
round26		13-01	12-03	10-05	08-07	06-09	04-11	02-14
